specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Pristomyrmex_punctatus_OKENT0105157_processed.obj,leg,3887,0.0028014786075800657,0.006981507083401081,0.0898256003856659,0.01531211007386446
Pristomyrmex_punctatus_OKENT0105157_processed.obj,leg_distal,822,0.0071030231192708015,0.02246400937438011,0.18563005328178406,0.021726451814174652
Proatta_sp._CASENT0745619_processed.obj,body,2611,0.005860470235347748,0.014726889785379171,0.20391982793807983,0.02397189848124981
Proatta_sp._CASENT0745619_processed.obj,head,2174,0.00312701310031116,0.007596086012199519,0.07073748111724854,0.019884226843714714
Proatta_sp._CASENT0745619_processed.obj,antenna,362,0.008329912088811398,0.022698444128036486,0.07995159178972244,0.02756412699818611
Proatta_sp._CASENT0745619_processed.obj,mandible,379,0.004419514909386635,0.009875589143484829,0.04702619090676308,0.016994114965200424
Proatta_sp._CASENT0745619_processed.obj,leg,3887,0.004781548865139484,0.011717382166534663,0.1431185007095337,0.02117801643908024
Proatta_sp._CASENT0745619_processed.obj,leg_distal,822,0.006284537259489298,0.016441987268626643,0.1217421144247055,0.022468462586402893
Proatta_sp._CASENT0745620_processed.obj,body,2611,0.004606691654771566,0.013594251591712236,0.10590039193630219,0.022112367674708366
Proatta_sp._CASENT0745620_processed.obj,head,2174,0.0037232160102576017,0.012094032811000922,0.03357364237308502,0.0169762521982193
Proatta_sp._CASENT0745620_processed.obj,antenna,362,0.006855166982859373,0.0242061567492783,0.2666270136833191,0.021432029083371162
Proatta_sp._CASENT0745620_processed.obj,mandible,379,0.004030080046504736,0.008666129782795904,0.061098355799913406,0.0191056951880455
Proatta_sp._CASENT0745620_processed.obj,leg,3887,0.0041889906860888,0.010484192520380017,0.11114852875471115,0.019611483439803123
Proatta_sp._CASENT0745620_processed.obj,leg_distal,822,0.0047604478895664215,0.011851546261459575,0.06991808861494064,0.016883304342627525
Probolomyrmex_sp._CASENT0744992_processed.obj,body,2611,0.004082157742232084,0.010290768928825855,0.1062629371881485,0.02085258811712265
Probolomyrmex_sp._CASENT0744992_processed.obj,head,2174,0.0021141550969332457,0.0057596521684899924,0.019468476995825768,0.014235035516321659
Probolomyrmex_sp._CASENT0744992_processed.obj,antenna,362,0.008083159103989601,0.02075967174023389,0.04442918300628662,0.02011243626475334
Probolomyrmex_sp._CASENT0744992_processed.obj,mandible,379,0.0034368440974503756,0.008184767607599496,0.06739598512649536,0.014715489000082016
Probolomyrmex_sp._CASENT0744992_processed.obj,leg,3887,0.0050978269428014755,0.013775099534541353,0.1581469476222992,0.016713028773665428
Probolomyrmex_sp._CASENT0744992_processed.obj,leg_distal,822,0.004219494294375181,0.010735341673716895,0.054355934262275696,0.012360633350908756
Probolomyrmex_sp._CASENT0744993_processed.obj,body,2611,0.0026291683316230774,0.006783266551792622,0.05622773617506027,0.017006346955895424
