iteration,specimen,k,n_touched,coverage_fraction
32,Acromyrmex_coronatus_CASENT0744365_processed,5,4560,0.4457913637161255
32,Solenopsis_invicta_CASENT0744384_processed,5,1296,0.1266985982656479
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2523,0.24665167927742004
33,Acromyrmex_coronatus_CASENT0744365_processed,2,2913,0.28477856516838074
33,Solenopsis_invicta_CASENT0744384_processed,2,621,0.060709744691848755
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3122,0.305210679769516
33,Acromyrmex_coronatus_CASENT0744365_processed,3,3479,0.3401114344596863
33,Solenopsis_invicta_CASENT0744384_processed,3,817,0.07987095415592194
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4232,0.41372567415237427
33,Acromyrmex_coronatus_CASENT0744365_processed,5,4526,0.44246748089790344
33,Solenopsis_invicta_CASENT0744384_processed,5,1225,0.11975754797458649
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2494,0.24381659924983978
34,Acromyrmex_coronatus_CASENT0744365_processed,2,2915,0.2849740982055664
34,Solenopsis_invicta_CASENT0744384_processed,2,646,0.06315378099679947
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3110,0.30403754115104675
34,Acromyrmex_coronatus_CASENT0744365_processed,3,3492,0.34138232469558716
34,Solenopsis_invicta_CASENT0744384_processed,3,867,0.08475901931524277
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4233,0.4138234257698059
34,Acromyrmex_coronatus_CASENT0744365_processed,5,4541,0.44393390417099
34,Solenopsis_invicta_CASENT0744384_processed,5,1295,0.12660083174705505
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2476,0.24205689132213593
35,Acromyrmex_coronatus_CASENT0744365_processed,2,2950,0.2883957326412201
35,Solenopsis_invicta_CASENT0744384_processed,2,665,0.06501124054193497
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3104,0.30345097184181213
35,Acromyrmex_coronatus_CASENT0744365_processed,3,3530,0.34509727358818054
35,Solenopsis_invicta_CASENT0744384_processed,3,907,0.08866946399211884
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4224,0.412943571805954
35,Acromyrmex_coronatus_CASENT0744365_processed,5,4582,0.4479421079158783
35,Solenopsis_invicta_CASENT0744384_processed,5,1360,0.13295532763004303
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2460,0.24049271643161774
36,Acromyrmex_coronatus_CASENT0744365_processed,2,2988,0.2921106517314911
36,Solenopsis_invicta_CASENT0744384_processed,2,649,0.06344705820083618
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3053,0.29846513271331787
36,Acromyrmex_coronatus_CASENT0744365_processed,3,3586,0.3505719006061554
36,Solenopsis_invicta_CASENT0744384_processed,3,876,0.0856388658285141
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4138,0.4045361280441284
36,Acromyrmex_coronatus_CASENT0744365_processed,5,4663,0.45586079359054565
36,Solenopsis_invicta_CASENT0744384_processed,5,1309,0.12796950340270996
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2490,0.24342554807662964
37,Acromyrmex_coronatus_CASENT0744365_processed,2,2961,0.2894711196422577
37,Solenopsis_invicta_CASENT0744384_processed,2,676,0.06608661264181137
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3094,0.30247336626052856
37,Acromyrmex_coronatus_CASENT0744365_processed,3,3541,0.34617263078689575
37,Solenopsis_invicta_CASENT0744384_processed,3,918,0.08974484354257584
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4217,0.4122592508792877
37,Acromyrmex_coronatus_CASENT0744365_processed,5,4631,0.4527324140071869
37,Solenopsis_invicta_CASENT0744384_processed,5,1367,0.1336396485567093
