arm,metric,control,arm_val,rel,wins,n,p
A4_nofreeze,fscore@0.01,0.6615910685062408,0.6665402311086654,0.7480697424757407,35,50,0.006600447966810918
A4_nofreeze,fscore@0.02,0.9228403961658478,0.9255594134330749,0.29463570066080275,39,50,9.021490107130603e-05
A4_nofreeze,hausdorff_95,0.03177629409357901,0.0312424661405384,-1.6799566099549637,34,50,0.015346677832630107
A4_nofreeze,normal_consistency,0.7847785115242004,0.7930573678016662,1.0549290221232035,40,50,2.3861331676755526e-05
A4_nofreeze,edge_logratio_absmean,0.585228705406189,0.569295369386673,-2.722582790676665,39,50,9.021490107130603e-05
A4_nofreeze,tri_quality_mean,0.6461913955211639,0.6555037665367126,1.441116529882563,40,50,2.3861331676755526e-05
A4_nofreeze,deform_mag_mean,0.05210933651775118,0.03985806789249177,-23.510697782250354,50,50,1.7763568394002505e-15
A4_nofreeze,deform_mag_p95,0.11934373617172238,0.09309139139950272,-21.99725399431561,50,50,1.7763568394002505e-15
A4_nofreeze,midline_dev_mean,0.0369353748299181,0.03808090858161445,3.101454247967825,18,50,0.06490864707227217
A4_nofreeze,part_leg_distal_dist_mean,0.009220938170328688,0.008449488105252341,-8.366286062681462,27,50,0.6718110337653656
A5_robust,chamfer_l2,0.0024823476630262483,0.0038873894035350116,56.60132788289024,4,50,4.461782054931973e-10
A5_robust,fscore@0.01,0.2726381371170282,0.3084507623314858,13.135589023979374,48,50,2.2666313270747196e-12
A5_robust,fscore@0.02,0.5616250535845757,0.5969687634706498,6.293114892298634,43,50,2.098677427397888e-07
A5_robust,hausdorff_95,0.07721978776156899,0.10689803399145599,38.43347293460581,4,50,4.461782054931973e-10
A5_robust,normal_consistency,0.6894034993648529,0.7207909905910492,4.552847679924469,43,50,2.098677427397888e-07
A5_robust,edge_logratio_absmean,0.0,3.8854436161528405e-14,3.8854436161528403,0,50,1.7763568394002505e-15
A5_robust,tri_quality_mean,0.7295354247093201,0.7522885251045227,3.1188479167049765,42,50,1.163555804595262e-06
A5_robust,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A5_robust,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
A5_robust,midline_dev_mean,0.031235918123274996,0.029355342909693664,-6.020553665492685,32,50,0.06490864707227217
A5_robust,part_leg_distal_dist_mean,0.04610030675306911,0.04694859664887186,1.8400959896603681,29,50,0.3222363203575469
A5_robust,chamfer_l2,0.00040320283180330394,0.0007483259608852181,85.59541278081173,4,50,4.461782054931973e-10
A5_robust,fscore@0.01,0.6615910685062408,0.6842800426483154,3.429455931632832,39,50,9.021490107130603e-05
